
AR,03/31/20,https://www.healthy.arkansas.gov/programs-services/topics/novel-coronavirus
40-49,54,
50-59,69,
60-69,77,
70-79,46,
>=80,29,

MI,04/01/20,https://www.michigan.gov/coronavirus/0,9753,7-406-98163-520743--,00.html
gender,cases,deaths
M,4574,216
F,4760,121
age,cases,deaths
0-19,93,
20-29,933,
30-39,1213,
40-49,1587,
50-59,1867,
60-69,1680,
70-79,1213,
>=80,747,


MO,04/01/20,https://health.mo.gov/living/healthcondiseases/communicable/novel-coronavirus/results.php
age,cases,deaths
0-20,47,
20-24,139,
25-29,106,
30-34,101,
35-39,103,
40-44,120,
45-49,137,
50-54,172,
55-59,163,
60-64,152,
65-69,114,
70-74,93,
75-79,47,
>=80,87,
gender,cases,deaths
M,747,
F,813,

MS,04/01/20,https://msdh.ms.gov/msdhsite/_static/14,0,420.html
age,cases,deaths
0-17,19,0
18-29,135,0
30-39,160,1
40-59,208,2
50-59,190,1
60-69,196,5
>=70,165,13
gender,cases,deaths
F,622,
M,440,

MT,04/01/20,https://dphhs.mt.gov/publichealth/cdepi/diseases/coronavirusmt/demographics
age,cases,deaths
0-9,0,
10-19,8,
20-29,46,
30-39,31,
40-49,32,
50-59,43,
60-69,39,
70-79,13,
>=80,7,
gender,cases,deaths
F,107,
M,112,


NC,04/01/20,https://files.nc.gov/ncdhhs/documents/files/covid-19/NCDHHS_COVIDDashboard.pdf
age,cases,deaths
0-17,16,0
18-24,158,0
25-49,681,1
50-64,412,2
>=65,301,7
gender,cases,deaths
F,824,1
M,744,9

ND,04/01/20,https://www.health.nd.gov/diseases-conditions/coronavirus/north-dakota-coronavirus-cases
age,cases,deaths
0-9,2,
10-19,5,
20-29,24,
30-39,36,
40-49,24,
50-59,22
60-69,20
70-79,9
>=80,5
gender,cases,deaths
F,72,
M,75,

NV,04/01/20,https://app.powerbigov.us/view?r=eyJrIjoiMjA2ZThiOWUtM2FlNS00MGY5LWFmYjUtNmQwNTQ3Nzg5N2I2IiwidCI6ImU0YTM0MGU2LWI4OWUtNGU2OC04ZWFhLTE1NDRkMjcwMzk4MCJ9
age,cases,deaths
0-9,469,
10-19,436,
20-29,1912,
30-39,2405,
40-49,2064,
50-59,2077,
60-69,1759,
>=70,1575,
gender,cases,deaths
F,6750,
M,5155,

OH,04/01/20,https://coronavirus.ohio.gov/wps/portal/gov/covid-19/home/dashboard/overview/
age,cases,deaths
0-19,42,0
20-29,324,0
30-39,358,0
40-49,375,0
50-59,491,4
60-69,490,10
70-79,268,18
>=80,197,33
gender,cases,deaths
F,1294,26
M,1246,39

OK,04/01/20,https://coronavirus.health.ok.gov/
age,cases,deaths
0-4,6,0
5-17,9,0
18-35,111,0
36-49,138,1
50-64,194,8
>=65,261,21
gender,cases,deaths
F,364,12
M,355,18


OR,04/01/20,https://govstatus.egov.com/OR-OHA-COVID-19
age,cases,deaths
0-19,14,0
20-29,76,0
30-39,103,0
40-49,136,0
50-59,142,0
60-69,127,3
70-79,77,6
>=80,59,10
gender,cases,deaths
F,400,9
M,331,10

RI,04/01/20,https://health.ri.gov/data/covid-19/
age,cases,deaths
0-9,0,
10-19,8,
20-29,65,
30-39,81,
40-49,76,
50-59,107,
60-69,96,
70-79,57,
80-89,37,
90-99,19,
>=100,0,
gender,cases,deaths
F,297,
M,249,


SD,04/01/20,https://doh.sd.gov/news/Coronavirus.aspx
age,cases,deaths
0-19,6,
20-29,23,
30-39,15,
40-49,26,
50-59,30,
60-69,20,
70-79,7,
>=80,2,
gender,cases,deaths
F,60,
M,69,


TN,04/01/20,https://www.tn.gov/health/cedep/ncov.html#collapse871149b0d58c492fa61f89a4d95b9eeb-1
age,cases,deaths
0-10,33,
11-20,31,
21-30,637,
31-40,426,
41-50,417,
51-60,456,
61-70,308,
71-80,175,
>=80,79,

TX,04/01/20,https://txdshs.maps.arcgis.com/apps/opsdashboard/index.html#/ed483ecd702b4298ab01e8b9cafc8b83
age,cases,deaths
0-9,10,
10-19,21,
20-29,140,
30-39,154,
40-49,188,
50-59,185,
60-64,92,
65-69,74,
70-74,41,
75-79,34,
>=80,29,
gender,cases,deaths
F,462,
M,441,

UT,04/01/20,https://coronavirus-dashboard.utah.gov/
age,cases,deaths
0-14,16,
15-24,134,
25-44,400,
45-64,321,
65-84,116,
>=85,2,
gender,cases,deaths
F,448,
M,540,

VA,04/01/20,http://www.vdh.virginia.gov/coronavirus/
age,cases,deaths
0-9,12,
10-19,22,
20-29,204,
30-39,212,
40-49,252,
50-59,280,
60-69,247,
70-79,159,
>=80,96,
gender,cases,deaths
F,725,
M,743,

WA,04/01/20,https://www.doh.wa.gov/Emergencies/Coronavirus
age,cases,deaths
0-19,83,0
20-39,1258,1
40-59,1649,12
60-79,1382,77
>=80,614,105
gender,cases,deaths
F,2473,93
M,2215,102


WI,04/01/20,https://data.dhsgis.wi.gov/datasets/wisconsin-covid-19-cases-state-boundary/geoservice
age,cases,deaths
0-9,7,0
10-19,16,0
20-29,189,0
30-39,213,0
40-49,255,1
50-59,295,6
60-69,310,5
70-79,165,6
80-89,77,5
>=90,23,1
gender,cases,deaths
M,741,14
F,809,10

